battle_id,matchup,event_name,event_date,upload_date,emcee,participant_slot,participant_role,participation_status,appearance_credit,battle_credit
TCax_1ve6uY,Mocks Wun vs Sparo,Aspakan,2012-10-06,2012-12-23 12:00:22,Sparo,emcee2,scheduled,appeared,True,True
XE6TcNn-FLA,Mizayld vs Ranieboy,Kataga,2012-09-08,2012-12-19 11:23:09,Mizayld,emcee1,scheduled,appeared,True,True
XE6TcNn-FLA,Mizayld vs Ranieboy,Kataga,2012-09-08,2012-12-19 11:23:09,Ranieboy,emcee2,scheduled,appeared,True,True
2pJKSarss28,G-Clown vs J-Lem,Kataga,2012-09-08,2012-12-16 08:11:58,G-Clown,emcee1,scheduled,appeared,True,True
2pJKSarss28,G-Clown vs J-Lem,Kataga,2012-09-08,2012-12-16 08:11:58,J-Lem,emcee2,scheduled,appeared,True,True
kJpu03L8U0M,Krusa vs Bogchick,Kataga,2012-09-08,2012-12-13 05:30:52,Krusa,emcee1,scheduled,appeared,True,True
kJpu03L8U0M,Krusa vs Bogchick,Kataga,2012-09-08,2012-12-13 05:30:52,Bogchick,emcee2,scheduled,appeared,True,True
AOPqiG31__M,Elias vs Yelshawn,Kataga,2012-09-08,2012-12-08 22:38:38,Elias,emcee1,scheduled,appeared,True,True
AOPqiG31__M,Elias vs Yelshawn,Kataga,2012-09-08,2012-12-08 22:38:38,Yelshawn,emcee2,scheduled,appeared,True,True
fdgD8jWcsgg,Zaito vs Batang Rebelde,Kataga,2012-09-08,2012-12-05 12:32:08,Zaito,emcee1,scheduled,appeared,True,True
fdgD8jWcsgg,Zaito vs Batang Rebelde,Kataga,2012-09-08,2012-12-05 12:32:08,Batang Rebelde,emcee2,scheduled,appeared,True,True
6l8_-UgExnQ,Thike vs Damsa,Kataga,2012-09-08,2012-12-01 13:06:11,Thike,emcee1,scheduled,appeared,True,True
6l8_-UgExnQ,Thike vs Damsa,Kataga,2012-09-08,2012-12-01 13:06:11,Damsa,emcee2,scheduled,appeared,True,True
ZLeHi6JYcYo,Andy G vs Papew,Kataga,2012-09-08,2012-11-28 14:16:35,Andy G,emcee1,scheduled,appeared,True,True
ZLeHi6JYcYo,Andy G vs Papew,Kataga,2012-09-08,2012-11-28 14:16:35,Papew,emcee2,scheduled,appeared,True,True
QdtgOGmmtEQ,Crazymix vs Rapido,Kataga,2012-09-08,2012-11-24 11:57:10,Crazymix,emcee1,scheduled,appeared,True,True
QdtgOGmmtEQ,Crazymix vs Rapido,Kataga,2012-09-08,2012-11-24 11:57:10,Rapido,emcee2,scheduled,appeared,True,True
uhYGMLQkDRU,Melchrist vs Troublesome,Kataga,2012-09-08,2012-11-23 11:39:54,Melchrist,emcee1,scheduled,appeared,True,True
uhYGMLQkDRU,Melchrist vs Troublesome,Kataga,2012-09-08,2012-11-23 11:39:54,Troublesome,emcee2,scheduled,appeared,True,True
PORH660oHFA,Dello vs Righteous One,Unibersikulo,2012-08-31,2012-10-21 19:40:45,Dello,emcee1,scheduled,appeared,True,True
PORH660oHFA,Dello vs Righteous One,Unibersikulo,2012-08-31,2012-10-21 19:40:45,Righteous One,emcee2,scheduled,appeared,True,True
3QhphyqAMf8,Negatibo vs Caliber,Unibersikulo,2012-08-31,2012-10-21 13:05:47,Negatibo,emcee1,scheduled,appeared,True,True
3QhphyqAMf8,Negatibo vs Caliber,Unibersikulo,2012-08-31,2012-10-21 13:05:47,Caliber,emcee2,scheduled,appeared,True,True
xptQdqSrrvA,Tipsy D vs Notorious,Unibersikulo,2012-08-31,2012-10-17 10:33:16,Tipsy D,emcee1,scheduled,appeared,True,True
xptQdqSrrvA,Tipsy D vs Notorious,Unibersikulo,2012-08-31,2012-10-17 10:33:16,Notorious,emcee2,scheduled,appeared,True,True
lZpU7OFl2HY,Silencer vs Frooz,Unibersikulo,2012-08-31,2012-10-17 10:12:52,Silencer,emcee1,scheduled,appeared,True,True
lZpU7OFl2HY,Silencer vs Frooz,Unibersikulo,2012-08-31,2012-10-17 10:12:52,Frooz,emcee2,scheduled,appeared,True,True
WYG4IYhWTds,J-Skeelz vs Batas,Unibersikulo,2012-08-31,2012-10-10 16:47:12,J-Skeelz,emcee1,scheduled,appeared,True,True
WYG4IYhWTds,J-Skeelz vs Batas,Unibersikulo,2012-08-31,2012-10-10 16:47:12,Batas,emcee2,scheduled,appeared,True,True
6zDkRsAAtbw,Zaito vs Bassilyo,Unibersikulo,2012-08-31,2012-10-10 12:24:50,Zaito,emcee1,scheduled,appeared,True,True
6zDkRsAAtbw,Zaito vs Bassilyo,Unibersikulo,2012-08-31,2012-10-10 12:24:50,Bassilyo,emcee2,scheduled,appeared,True,True
bWWRGFtWaSk,Target vs Badang,Unibersikulo,2012-08-31,2012-10-06 02:18:02,Target,emcee1,scheduled,appeared,True,True
bWWRGFtWaSk,Target vs Badang,Unibersikulo,2012-08-31,2012-10-06 02:18:02,Badang,emcee2,scheduled,appeared,True,True
u3RqpqLiLo8,BLKD vs Apekz,Unibersikulo,2012-08-31,2012-10-06 02:04:09,BLKD,emcee1,scheduled,appeared,True,True
u3RqpqLiLo8,BLKD vs Apekz,Unibersikulo,2012-08-31,2012-10-06 02:04:09,Apekz,emcee2,scheduled,appeared,True,True
bGq-PlicLjk,Stielo vs Batang X,Dagitay,2012-07-28,2012-09-24 12:43:23,Stielo,emcee1,scheduled,appeared,True,True
bGq-PlicLjk,Stielo vs Batang X,Dagitay,2012-07-28,2012-09-24 12:43:23,Batang X,emcee2,scheduled,appeared,True,True
_eq5PlYBbsY,Drei vs Mazstah Locco,Dagitay,2012-07-28,2012-09-22 17:47:07,Drei,emcee1,scheduled,appeared,True,True
_eq5PlYBbsY,Drei vs Mazstah Locco,Dagitay,2012-07-28,2012-09-22 17:47:07,Mazstah Locco,emcee2,scheduled,appeared,True,True
OQgCm1Hk6sA,Lazta vs Sniper,Dagitay,2012-07-28,2012-09-15 15:23:35,Lazta,emcee1,scheduled,appeared,True,True
OQgCm1Hk6sA,Lazta vs Sniper,Dagitay,2012-07-28,2012-09-15 15:23:35,Sniper,emcee2,scheduled,appeared,True,True
aBYHNveJgTg,Ejo vs W Beat,Dagitay,2012-07-28,2012-09-15 15:23:35,Ejo,emcee1,scheduled,appeared,True,True
aBYHNveJgTg,Ejo vs W Beat,Dagitay,2012-07-28,2012-09-15 15:23:35,W Beat,emcee2,scheduled,appeared,True,True
WcgLqPNtiFE,Jaytee vs Jojo,Dagitay,2012-07-28,2012-09-13 06:47:29,Jaytee,emcee1,scheduled,appeared,True,True
WcgLqPNtiFE,Jaytee vs Jojo,Dagitay,2012-07-28,2012-09-13 06:47:29,Jojo,emcee2,scheduled,appeared,True,True
jdpjGv6o1_M,Rudic vs Mastamine,Dagitay,2012-07-28,2012-09-13 06:46:50,Rudic,emcee1,scheduled,appeared,True,True
jdpjGv6o1_M,Rudic vs Mastamine,Dagitay,2012-07-28,2012-09-13 06:46:50,Mastamine,emcee2,scheduled,appeared,True,True
PCNfLqPOmSg,Zaito vs PriceTagg,Dagitay,2012-07-28,2012-09-06 12:35:13,Zaito,emcee1,scheduled,appeared,True,True
PCNfLqPOmSg,Zaito vs PriceTagg,Dagitay,2012-07-28,2012-09-06 12:35:13,PriceTagg,emcee2,scheduled,appeared,True,True
TDE6yJu0DOU,Tweng vs Fongger,Dagitay,2012-07-28,2012-09-06 12:35:13,Tweng,emcee1,scheduled,appeared,True,True
TDE6yJu0DOU,Tweng vs Fongger,Dagitay,2012-07-28,2012-09-06 12:35:13,Fongger,emcee2,scheduled,appeared,True,True
B2lUNjvFsmI,Apekz vs Aklas,Dos Por Dos Semis,2012-07-06,2012-07-25 13:01:24,Apekz,emcee1,scheduled,appeared,True,True
B2lUNjvFsmI,Apekz vs Aklas,Dos Por Dos Semis,2012-07-06,2012-07-25 13:01:24,Aklas,emcee2,scheduled,appeared,True,True
NJsHd-Az5M0,Aklas vs Zero Hour,Different Ways 2,2012-05-19,2012-07-25 11:46:17,Aklas,emcee1,scheduled,appeared,True,True
NJsHd-Az5M0,Aklas vs Zero Hour,Different Ways 2,2012-05-19,2012-07-25 11:46:17,Zero Hour,emcee2,scheduled,appeared,True,True
F073b9QocBQ,Maxford vs Dopee,Different Ways 2,2012-05-19,2012-07-18 15:03:06,Maxford,emcee1,scheduled,appeared,True,True
F073b9QocBQ,Maxford vs Dopee,Different Ways 2,2012-05-19,2012-07-18 15:03:06,Dopee,emcee2,scheduled,appeared,True,True
vwEhYNJ-e4g,Kamandag vs Psykadelik,Different Ways 2,2012-05-19,2012-07-18 15:03:06,Kamandag,emcee1,scheduled,appeared,True,True
vwEhYNJ-e4g,Kamandag vs Psykadelik,Different Ways 2,2012-05-19,2012-07-18 15:03:06,Psykadelik,emcee2,scheduled,appeared,True,True
YEAkNeofds8,AKT vs Blackleaf,Different Ways 2,2012-05-19,2012-07-16 04:43:08,AKT,emcee1,scheduled,appeared,True,True
YEAkNeofds8,AKT vs Blackleaf,Different Ways 2,2012-05-19,2012-07-16 04:43:08,Blackleaf,emcee2,scheduled,appeared,True,True
ghkHFrvVrPk,Snob vs Kalidido,Different Ways 2,2012-05-19,2012-07-16 04:43:08,Snob,emcee1,scheduled,appeared,True,True
ghkHFrvVrPk,Snob vs Kalidido,Different Ways 2,2012-05-19,2012-07-16 04:43:08,Kalidido,emcee2,scheduled,appeared,True,True
N8RGnLmjnRI,Rudic vs G-Spot,Different Ways 2,2012-05-19,2012-07-11 12:54:13,Rudic,emcee1,scheduled,appeared,True,True
