id,battle_type,winner,votes_winner,votes_loser,votes_nv,votes_ot,overtime,notes
6ROUOiyY3g0,judged,Ruffian,5,0,0,0,no,none
6ZEBxLxg4TE,judged,Batas,6,1,0,0,no,none
6bZCmerU6EU,judged,Harlem,5,0,0,0,no,none
6c08d7qImP0,judged,Poison13,4,1,0,0,no,none
6rbRPPUEuUI,judged,Pistolero,5,0,0,0,no,none
6xpS4wcNePw,judged,Lanzeta,5,2,0,0,no,none
70a_EIa6AnQ,judged,Sinio,5,0,0,0,no,none
71Jc8_WBk48,judged,Blackleaf,5,0,0,0,no,none
71gi9Ix82rA,judged,Sixth Threat,4,1,0,0,no,none
71p-Kd-duyY,judged,Vitrum,5,0,0,0,no,none
769OqI16Hhg,judged,Dello,7,0,0,0,no,none
7QnkH5vCGwQ,judged,Romano,4,3,0,0,no,none
7RFE3Zwb5zQ,judged,Sayadd,5,0,0,0,no,none
7T8zNOHHZzs,judged,Ruffian,5,0,0,0,no,none
7_7Xv8gTJp4,judged,Johndelo,3,2,0,0,no,none
7d-QG0k2ItI,judged,Dave Denver,5,0,0,0,no,none
7d0UyzZlOrE,judged,One Lie Ace,4,1,0,0,no,none
7iQSEd0VfSQ,judged,Ilaya,5,0,0,0,no,none
7qwAfRQCQak,promo,NA,NA,NA,NA,NA,NA,none
7rjqA-IWl_o,judged,Pamoso,5,0,0,0,no,none
7sDVqDsw5vc,judged,Mison,4,1,0,0,no,none
7zTePLcK0gE,judged,Kris Delano,7,0,0,0,no,none
8-Pder4GRd4,judged,Badang,4,1,0,0,no,none
80b0N-IJJU8,judged,Tipsy D,5,0,0,0,no,none
84zTU423C4c,judged,Harlem,5,0,0,0,no,none
86YkNfkWM6E,judged,Maxford,3,2,0,0,no,none
87f6nD_l-JU,judged,Batas,7,0,0,0,no,none
88qjru3sRf0,judged,Pistolero,5,0,0,0,no,none
8CtAfkytUgQ,judged,M Zhayt,5,0,0,0,no,none
8KgHKDpbrVM,judged,J-Blaque,5,0,0,0,no,none
8UMk5DbRX-Y,judged,Lanzeta,5,0,0,0,no,none
8dB8lNFiOEw,judged,Mhot,5,0,0,0,no,none
8dXE0Y0iSXw,judged,Deadline,5,0,0,0,no,none
8eQQ0f7Eo4k,judged,Dhuski,4,1,0,0,no,none
8iEzx2dDJBA,judged,Makii,3,2,0,0,no,none
8nD6vrvx1uo,judged,Jecoy,5,0,0,0,no,none
8ojejswb3Lw,judged,Abra,6,0,0,0,no,none
8uO1viLYMSE,judged,Sickreto,5,0,0,0,no,none
8z417WOZ4Po,judged,JDee,3,2,0,0,no,none
906DViRVArw,judged,Lhipkram,5,0,0,0,no,none
90TBRGUCSV4,judged,M Zhayt,5,0,0,0,no,none
951knu3FaAM,judged,Jonas,3,0,0,0,no,none
9Fcq6pEO2XE,judged,Invictus,5,0,0,0,no,none
9HYCWMi3aFg,judged,Tipsy D,5,0,0,0,no,none
9JAF7iICrWI,judged,Sayadd,3,2,0,0,no,none
9OYcH1Om_0s,judged,Dello,7,0,0,0,no,none
9SMQqF1nlic,judged,Ban,5,0,0,0,no,none
9bd3jglzTNI,judged,Jonas,4,1,0,0,no,none
9mLXDRzq0CM,judged,Classico,3,0,0,0,no,none
9nu7LGPqOrU,judged,Fernie,2,1,0,0,no,none
9rjJ6MPp10w,judged,Melchrist,4,1,0,0,no,none
9spsx70cwLk,judged,Apekz,5,0,0,0,no,none
9va2PIVTpMc,judged,JDee,5,2,0,0,no,none
9wMa-7mTXAk,judged,3rdy,5,0,0,0,no,none
9xWuT-atbuo,judged,Yagi,5,0,0,0,no,none
9xwBIOUF_lI,judged,Asser,7,0,0,0,no,none
9yKx7_cVchE,judged,BLKD,4,1,0,0,no,none
A42tEZLiw7A,judged,Rapido,5,0,0,0,no,none
A4S2yofCP7k,judged,OG Ulo,3,0,0,0,no,none
ACj9U03S0Ac,judged,Ivar,5,0,0,0,no,none
AGvrtaQPb3c,judged,Bisente,5,0,0,0,no,none
AH12D7OCEVM,judged,Asser,5,0,0,0,no,none
AJlCGpeDI4M,judged,Jamal,5,0,0,0,no,none
AJm-kGThUfk,judged,Aklas,4,1,0,0,no,none
ANU8DfdHFIc,judged,Pistolero,6,1,0,0,no,none
AO78U7C5_lM,judged,Sak Maestro,4,1,0,0,no,none
APFhyjRkpCc,judged,Katana,4,3,0,0,no,none
APNkS_Yh6FA,judged,Shehyee,3,2,0,0,no,none
AZrqLS-3NGY,judged,Mimack,5,0,0,0,no,none
AbiGZCaoZY8,judged,Supremo,3,0,0,0,no,none
AgvrFCCRHdY,judged,Jonas,3,2,0,0,no,none
Akf72KvdnHw,judged,Melchrist,4,1,0,0,no,none
Al5apOaya2Y,judged,Kregga,4,1,0,0,no,none
AlABY9JeUUc,promo,NA,NA,NA,NA,NA,NA,none
AlMMBKKEqls,judged,Apekz,5,0,0,0,no,none
Aptob6ytYqM,judged,CRhyme,5,0,0,0,no,none
AqDHenZCnHM,judged,Sanctuz,3,2,0,0,no,none
ArWD8-21o5I,judged,Harlem,7,0,0,0,no,none
AtXB4Lb4Oh0,judged,Sur Henyo,3,2,0,0,no,none
B2aslqTfwD8,judged,Bisente,5,0,0,0,no,none
B550Fva6pUw,judged,Tipsy D,5,0,0,0,no,none
B5XC3V3VqXQ,judged,Smugglaz,5,0,0,0,no,none
BQhUyT5VlaI,judged,Katana,7,0,0,0,no,none
BVi9KrcbsA0,judged,Damsa,3,2,0,0,no,none
BY4g5_Idhv4,judged,SirDeo,3,2,0,0,no,none
BYmEptxJGEw,judged,Emar Industriya,3,2,0,0,no,none
BgbcyhISlmw,judged,Jonas,3,2,0,0,no,none
BqSn7mbHiyc,judged,Sinio,4,1,0,0,no,none
BvFp_-EBK_o,judged,Plazma,5,0,0,0,no,none
BwuEF-d9HmU,judged,Elbiz,3,2,0,0,no,none
C-Eio3ltag0,judged,Goriong Talas,3,2,0,0,no,none
C2IAsPfoMc8,judged,Poison13,5,0,0,0,no,none
C6FNWfPWT7I,judged,SlockOne,4,1,0,0,no,none
C9Kw0vX9TNE,judged,GL,7,0,0,0,no,none
C9kAWUDTg8M,judged,Poison13,5,0,0,0,no,none
CBE74j5juP8,judged,Zend Luke,5,0,0,0,no,none
CImQ3mNJYnQ,promo,NA,NA,NA,NA,NA,NA,none
CNck6JN57xY,judged,Sayadd,5,2,0,0,no,none
CP6p-GBDiCI,judged,Dilim,5,0,0,0,no,none
CPEyyDFNEvc,judged,Pistolero,5,0,0,0,no,none
CTEjqV43HmE,judged,Damsa,4,1,0,0,no,none
CWTEW8i6GIY,judged,Apoc,5,0,0,0,no,none
CY2BTb2_g8w,promo,NA,NA,NA,NA,NA,NA,none
CcGODC1suoo,judged,AKT,5,0,0,0,no,none
ClWtHno_ou4,judged,OnliSon,5,0,0,0,no,none
ClpoBSSJpcg,judged,Thike,3,2,0,0,no,none
CsFsWJ8z-i4,judged,Caspher,5,0,0,0,no,none
CvWDh27Ng9Q,judged,Jonas,4,1,0,0,no,none
CyETE05hTTg,judged,J-King,4,1,0,0,no,none
D-dMsNy3duk,judged,Jawz,5,0,0,0,no,none
D6nGngMGQ0o,judged,Class G,3,2,0,0,no,none
DF2fGUWGK_U,judged,JR Zero,3,0,0,0,no,none
DGriYX8qMgo,judged,Batang Rebelde,5,0,0,0,no,none
DKMZCA0QDew,judged,Apekz,5,0,0,0,no,none
DRQi8u1BZVs,judged,Zend Luke,4,1,0,0,no,none
DUqOabogZRc,judged,2khelle,5,0,0,0,no,none
DXCdfjH-rN4,judged,Plazma,5,0,0,0,no,none
DZggWk41MsU,judged,Duma,5,0,0,0,no,none
D_sQrM7tUKI,judged,Damsa,3,2,0,0,no,none
DalmfzeuLOY,judged,Ranieboy,5,0,0,0,no,none
Dd-71FcVS7Q,judged,JDee,7,0,0,0,no,none
Dj6Y0PKFOtM,judged,Mhot,7,0,0,0,no,none
DtqYEwOxa20,judged,Damsa,5,0,0,0,no,none
DxmLSvUn25A,judged,Fongger,3,2,0,0,no,none
E07-dSkJOlk,judged,Hazky,5,0,0,0,no,none
E55hGAOgUew,judged,Ran,5,0,0,0,no,none
E96ewuV_aL8,judged,Batas,7,0,0,0,no,none
EFYN6wiyMCA,judged,Thike,5,0,0,0,no,none
EG2K9X2j_gQ,judged,Chris Ace,5,0,0,0,no,none
EH9fubutE-k,judged,Batang Rebelde,3,2,0,0,no,none
EMWLmxkrnII,judged,Frooz,5,0,0,0,no,none
ETvDvEuJfok,judged,Goriong Talas,4,3,0,0,no,none
EWSdR5xgnpM,judged,Frooz,5,0,0,0,no,none
EWaJ4HnVAKE,judged,CRhyme,4,1,0,0,no,none
EWpzF0TSfBQ,judged,Shaboy,5,0,0,0,no,none
EXUY3no4b3M,judged,Emar Industriya,5,0,0,0,no,none
EbuaqFDM18o,judged,Sixth Threat,5,0,0,0,no,none
Eel7xDhrIPA,judged,CNine,5,0,0,0,no,none
EfaNugB3A9o,judged,Sak Maestro,5,0,0,0,no,none
EhwWBYNQ-ao,judged,Madd NJ,5,0,0,0,yes,none
EiZjr3ryx-0,judged,Hazky,5,0,0,0,no,none
Eyb4PNJ7uaw,judged,Fukuda,7,0,0,0,no,none
FF-vrHEsNmQ,judged,OnliSon,5,0,0,0,no,none
FFnMAuKVEBs,judged,SirDeo,5,0,0,0,no,none
FIF92IaNidY,judged,Ruffian,5,0,0,0,no,none
FJYcuxb7Exc,judged,Poison13,5,0,0,0,no,none
FOjUCdfAp0I,judged,Kregga,5,0,0,0,no,none
FWogoAPtH44,judged,Gameboy,4,1,0,0,no,none
FZEh1yZiS4c,judged,Ilaya,5,0,0,0,no,none
FlLPp9I_jlw,judged,Shehyee,5,0,0,0,no,none
FmLQg78fcVg,judged,CripLi,5,0,0,0,no,none
Fu8feXFu-qM,judged,Class G,4,1,0,0,no,none
FwBwerXwXow,judged,Plazma,5,0,0,0,no,none
G3yYUEsmCDs,judged,Melchrist,7,0,0,0,no,none
